Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TOR,Blue Jays,131.262,498.694,568.284,131.136,79.9114,23.0325,1.66565,26.5268,81.6787,76.3972,56.686,0.961923,111.409,6.0827,3.76659,0.710192,10.725,12.1695,3.47905,0.26296,0.343055,0.475403,0.818458,0.352599,0.0997494,0.196044,0.508811,0.212443,4.83979,0.286975,,,85.3923,18.2452,-0.16,0.073586,0.073586,2.66789,18.854187473654747,-12.337719112634659,128.04,769.9,5.877099236,769.9,5.877099236,94.41999816894531,0.55033557,OF,/players/george-springer/12856/stats/batting,14,AL,George Springer,543807,12856,12856
CHW,White Sox,137.602,513.707,580.593,125.555,73.3012,28.6904,1.13367,22.4302,70.1419,71.0354,55.0616,0.564238,110.644,6.01879,4.87498,0.93041,7.53655,7.37865,2.43762,0.244411,0.321973,0.435664,0.757637,0.328315,0.0948367,0.19057,0.497647,0.191254,3.8465,0.267505,,,75.7948,7.19325,-2.18,-0.405935,-0.405935,2.65812,6.745258629322052,-0.7478804588317871,110.45,678.9,4.919565217,678.9,4.919565217,299.8599853515625,0.02721088,3B,/players/miguel-vargas/20178/stats/batting,4,AL,Miguel Vargas,678246,20178,20178
MIN,Twins,126.266,474.635,534.407,128.718,89.3083,27.0106,1.88171,10.5178,68.3415,52.1708,45.5704,1.60405,90.8565,8.67198,4.8822,0.647014,9.18959,19.9712,5.54449,0.271194,0.342777,0.40251,0.745288,0.326403,0.0852729,0.170014,0.501565,0.131316,5.45091,0.312581,,,68.936,5.79168,-0.52,0.78659,0.78659,2.61562,6.224164247512817,0.9474259614944458,108.633,626.7,4.973809523,626.7,4.973809523,116.77999877929688,0.16326531,2B,/players/luke-keaschall/33321/stats/batting,8,AL,Luke Keaschall,807712,33321,33321
BOS,Red Sox,135.927,521.483,575.096,129.856,81.9389,23.5907,2.9553,21.3711,74.1749,69.9686,35.7547,1.41123,154.716,6.25754,4.08274,1.04584,7.00333,21.9211,5.84974,0.249013,0.30281,0.428529,0.731339,0.314976,0.0621717,0.269026,0.231099,0.179516,6.24363,0.310419,,,68.8488,0.896742,-0.03,1.17968,1.17968,2.60096,-0.6350812911987305,6.262916775420308,97.3226,642.1,4.721323529,642.1,4.721323529,111.0999984741211,0.0,SS,/players/trevor-story/12564/stats/batting,3,AL,Trevor Story,596115,12564,12564
TBR,Rays,141.953,549.859,615.681,157.151,108.696,24.7778,0.481389,23.1955,77.1013,84.5934,56.0583,1.44737,92.771,5.4195,3.56143,0.782335,18.2246,2.12505,0.904473,0.285802,0.355552,0.459168,0.814721,0.353137,0.0910509,0.15068,0.604266,0.173367,2.42998,0.306215,,,92.7835,20.036,-0.08,-1.05927,-1.05927,2.59244,18.47861647605896,-14.330890730023384,126.925,801.9,5.647183098,801.9,5.647183098,138.10000610351562,0.75496689,1B/3B,/players/yandy-diaz/16578/stats/batting,12,AL,Yandy Díaz,650490,16578,16578
DET,Tigers,148.211,561.871,629.559,139.034,82.7461,26.0733,3.34462,26.8697,80.6538,82.756,58.0648,1.88102,181.316,4.89933,4.23986,0.48356,10.7389,3.71801,1.12782,0.247448,0.321103,0.449223,0.770325,0.331779,0.0922309,0.288005,0.320241,0.201775,4.07824,0.313372,,,83.958,9.57078,1.49,-0.667773,-0.667773,2.54388,8.862179279327393,-5.666743516921997,112.843,756.5,5.111486486,756.5,5.111486486,78.19000244140625,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
ATH,Athletics,137.346,532.531,574.73,155.771,119.983,26.4633,2.276,7.04931,65.3748,56.3304,28.9921,0.754856,46.7792,6.3094,4.01813,2.87913,16.6336,5.15225,1.93763,0.292511,0.33413,0.390464,0.724595,0.31703,0.0504447,0.0813934,0.619764,0.0979534,3.86434,0.308091,,,69.7636,1.8548,-0.53,-0.783195,-0.783195,2.53816,-0.7056439518928528,5.7322680950164795,100.114,602.1,4.39489051,602.1,4.39489051,195.6999969482422,0.008,SS,/players/jacob-wilson/33266/stats/batting,10,AL,Jacob Wilson,805779,33266,33266
CLE,Guardians,119.785,393.001,445.615,83.4247,48.7807,17.0703,1.59892,15.9748,49.586,50.2895,43.6792,1.03659,114.858,3.47554,3.38871,2.0701,5.43232,5.18497,1.53944,0.212276,0.2944,0.385793,0.680192,0.297153,0.09802,0.257751,0.380289,0.173517,4.33712,0.253994,,,46.8996,-5.75329,5.41,-0.219923,-0.219923,2.53139,-5.2482714504003525,14.652669906616211,90.426,427.8,3.565,427.8,3.565,590.9500122070312,0.0,C,/players/bo-naylor/21865/stats/batting,5,AL,Bo Naylor,666310,21865,21865
TOR,Blue Jays,126.083,460.177,523.02,108.704,60.7569,22.1842,0.48884,25.2744,65.8474,73.5458,51.7053,2.40703,113.867,6.97147,3.55771,0.608038,9.42386,1.33903,0.339522,0.236223,0.320401,0.451325,0.771726,0.332263,0.0988591,0.217711,0.454085,0.215102,2.47889,0.257029,,,69.9553,8.15649,0.0,-0.643805,-0.643805,2.52149,8.005474507808685,-1.362007737159729,114.031,628.1,4.984920634,628.1,4.984920634,999.0,0.0,3B,/players/kazuma-okamoto/sa3063134/stats/batting,14,AL,Kazuma Okamoto,672960,sa3063134,sa3063134
TEX,Rangers,142.603,540.204,614.136,135.689,86.0392,25.2186,2.93421,21.4973,78.4339,71.2805,59.8889,0.848282,132.063,8.65164,4.24328,1.14842,11.7376,7.58517,2.13054,0.251182,0.333171,0.428113,0.761284,0.33165,0.0975173,0.215038,0.453488,0.176931,4.49695,0.292136,,,81.8365,9.2716,0.66,-0.370343,-0.370343,2.49392,10.06022024154663,-6.822255909442902,114.41,725.2,5.071328671,725.2,5.071328671,144.88999938964844,0.02515723,OF,/players/brandon-nimmo/12927/stats/batting,13,AL,Brandon Nimmo,607043,12927,12927
