Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATH,Athletics,134,516,581,140,94,29,4,13,66,64,47,3,71,11,5,2,,4,1,0.271285,0.342421,0.418039,0.760461,0.331069,0.0815641,0.122753,0.664459,0.146754,4.3117,0.29077,-0.931457,,77.1472,8.49757,-1.64359,-0.332139,-1.2636,2.59524,5.437336325645447,-0.06859207153320312,109.786,675.9,5.04402985,675.9,5.04402985,445.0400085449219,0.07042254,2B/OF,/players/jeff-mcneil/15362/stats/batting,10,AL,Jeff McNeil,643446,15362,15362
BAL,Orioles,99,392,427,103,61,21,2,18,59,59,27,0,95,6,2,1,,4,2,0.262169,0.317495,0.467919,0.785414,0.337617,0.0635659,0.223177,0.284823,0.20575,4.43163,0.301063,0.0994156,,58.9686,8.51525,1.37627,-0.499554,-0.400138,2.59244,8.940531373023987,1.7012650966644287,118.56,527.3,5.326262626,527.3,5.326262626,631.3800048828125,0.18823529,2B/3B,/players/jordan-westburg/27815/stats/batting,2,AL,Jordan Westburg,676059,27815,27815
NYY,Yankees,128,477,546,116,65,22,2,27,75,79,56,0,115,8,4,0,,4,2,0.243651,0.330883,0.468362,0.799245,0.34473,0.10314,0.21038,0.490255,0.224712,4.06307,0.263556,-0.236955,,78.5269,14.0364,0.0249109,-0.734843,-0.971798,2.57057,13.916286647319794,-7.550088873133063,123.144,695.6,5.434375,695.6,5.434375,53.060001373291016,0.35820896,1B/DH,/players/ben-rice/29576/stats/batting,9,AL,Ben Rice,700250,29576,29576
BOS,Red Sox,130,496,560,128,85,29,2,11,68,62,40,0,62,18,4,3,,22,7,0.258368,0.333755,0.39504,0.728796,0.321383,0.0718802,0.109866,0.654251,0.136672,5.64143,0.273616,0.297171,,69.9548,3.78654,1.41407,0.786827,1.084,2.54948,2.2302029132843018,3.4140719175338745,101.737,615.9,4.737692307,615.9,4.737692307,221.27000427246094,0.0,3B,/players/caleb-durbin/29646/stats/batting,3,AL,Caleb Durbin,702332,29646,29646
MIN,Twins,133,523,574,132,82,26,0,22,67,77,43,1,121,3,4,1,,12,2,0.251363,0.308808,0.431255,0.740063,0.319357,0.0741411,0.210142,0.352815,0.179892,3.94024,0.283905,-0.194972,,70.7595,2.93696,0.26406,0.574718,0.379746,2.51756,2.936363935470581,1.914060354232788,103.779,653.6,4.914285714,653.6,4.914285714,191.3000030517578,0.06603774,3B,/players/royce-lewis/20437/stats/batting,8,AL,Royce Lewis,668904,20437,20437
CHW,White Sox,139,537,602,117,68,20,3,27,73,84,51,1,179,10,3,1,,3,1,0.218126,0.295568,0.413724,0.709292,0.307867,0.084347,0.296782,0.284205,0.195597,3.98046,0.270156,-0.0280402,,68.5952,-2.53578,0.765806,-0.739631,-0.767671,2.51572,-3.3470581769943237,7.21580582857132,96.3646,633.0,4.553956834,633.0,4.553956834,250.44000244140625,0.0,SS,/players/colson-montgomery/29712/stats/batting,4,AL,Colson Montgomery,695657,29712,29712
HOU,Astros,128,479,509,131,87,23,2,19,58,68,22,1,88,3,4,1,,1,0,0.272465,0.306038,0.4452,0.751238,0.321929,0.0429924,0.172442,0.249315,0.172736,2.97317,0.296617,0.010933,,63.8344,3.66848,-2.17006,-0.587919,-0.576986,2.47753,3.554256856441498,5.904935598373413,106.884,588.2,4.5953125,588.2,4.5953125,112.20999908447266,0.18115942,C/DH,/players/yainer-diaz/23003/stats/batting,21,AL,Yainer Diaz,673237,23003,23003
HOU,Astros,144,559,623,149,101,26,1,21,83,70,53,3,108,6,4,1,,13,4,0.265933,0.333703,0.42776,0.761463,0.330156,0.0844572,0.17266,0.489154,0.161827,4.49572,0.294726,-0.349994,,82.2622,8.64999,-5.27166,-0.151308,-0.501302,2.46684,8.714866399765015,-6.046664774417877,112.551,744.4,5.169444444,744.4,5.169444444,115.73999786376953,0.30246914,2B,/players/jose-altuve/5417/stats/batting,21,AL,Jose Altuve,514888,5417,5417
TEX,Rangers,146,554,630,139,91,26,2,20,80,69,61,1,138,9,4,2,,9,2,0.250329,0.332331,0.41095,0.743281,0.325635,0.0965956,0.219448,0.440174,0.16062,4.5661,0.297116,-0.14877,,80.8738,6.43442,2.33263,0.0603695,-0.0884009,2.44538,7.534923031926155,-5.317372798919678,110.267,720.7,4.936301369,720.7,4.936301369,144.88999938964844,0.02515723,OF,/players/brandon-nimmo/12927/stats/batting,13,AL,Brandon Nimmo,607043,12927,12927
TBR,Rays,141,532,609,141,94,25,0,21,79,77,62,3,155,10,5,1,,2,1,0.265697,0.350252,0.434968,0.785221,0.341649,0.101434,0.254875,0.397977,0.169271,2.54714,0.333443,-1.32543,,86.0963,14.1382,3.54457,-1.15003,-2.47546,2.44531,11.17004919052124,-8.230426549911499,119.011,744.5,5.280141843,744.5,5.280141843,195.4600067138672,0.09708738,1B,/players/jonathan-aranda/21837/stats/batting,12,AL,Jonathan Aranda,666018,21837,21837
