Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATH,Athletics,1,1,0,26,0,1,,26.0,110,25,13,12,3,23,8,,1,4.00993,1.29154,7.90101,2.87221,2.75084,1.15691,0.207224,0.075331,0.13189256936311722,,0.25021,0.293016,0.727033,4.10072,113.5,4.365384615384615,114.0,4.384615384615385,0.0273537,0.00334134,0,999.0,10,AL,Brady Basso,669620,25582,25582
TEX,Rangers,2,2,0,34,0,1,,34.0,146,32,17,16,5,33,12,,1,4.20204,1.31037,8.77673,3.26822,2.68548,1.22136,0.226689,0.084413,0.14227624982595444,,0.242658,0.290592,0.722814,4.14385,137.90000000000003,4.055882352941177,136.0,4.0,0.0270026,-0.0191188,0,999.0,13,AL,Peyton Gray,682608,sa3008046,sa3008046
HOU,Astros,2,3,0,50,0,4,,50.0,218,47,26,24,7,50,22,,2,4.39692,1.37603,9.07261,3.99211,2.27264,1.29898,0.230986,0.101638,0.12934834510087967,,0.24089,0.289914,0.725975,4.4752,205.7,4.114,203.0,4.06,0.0268517,-0.046866,0,999.0,21,AL,Nate Pearson,663878,20160,20160
KCR,Royals,1,1,0,20,0,1,,20.0,87,20,10,9,2,18,7,,1,4.12631,1.33056,8.13302,3.13725,2.59241,0.997461,0.208792,0.0805399,0.12825238704681396,,0.250251,0.299418,0.707303,3.98091,87.4,4.37,90.0,4.5,0.0246162,0.00294392,0,999.0,7,AL,James McArthur,663704,21527,21527
KCR,Royals,3,3,0,59,0,11,,59.0,255,61,31,28,8,46,19,,2,4.30285,1.35608,7.01075,2.91405,2.40584,1.18973,0.180449,0.0750046,0.1054445430636406,,0.261272,0.296098,0.716356,4.39315,252.60000000000005,4.2813559322033905,264.0,4.47457627118644,0.0245415,0.0112527,0,999.0,7,AL,Daniel Lynch IV,663738,21537,21537
MIN,Twins,3,2,0,56,1,10,,56.0,244,53,29,27,7,54,25,,3,4.34186,1.38891,8.70037,3.98447,2.18357,1.16636,0.22215,0.101737,0.12041307240724564,,0.245102,0.295431,0.721427,4.36013,259.50000000000006,4.633928571428572,258.0,4.607142857142857,0.0245197,-0.0147733,0,999.0,8,AL,Anthony Banda,607455,14706,14706
MIN,Twins,2,2,0,40,0,1,,40.0,175,39,20,18,5,36,15,,2,4.16002,1.3626,8.19993,3.47535,2.35946,1.06479,0.208792,0.0884916,0.12030056118965149,,0.248659,0.296171,0.722394,4.16144,158.1,3.9524999999999997,160.0,4.0,0.0236823,-0.0103142,0,999.0,8,AL,Kendry Rojas,696070,sa3016746,sa3016746
BAL,Orioles,2,2,0,25,0,1,,25.0,107,22,12,11,3,27,11,,2,4.05816,1.30437,9.62953,3.85229,2.49969,1.06604,0.250034,0.100026,0.15000778436660767,,0.231912,0.292582,0.716211,4.03653,109.89999999999999,4.396,105.0,4.2,0.0226977,0.000286749,0,999.0,2,AL,Anthony Nunez,689296,sa3010171,sa3010171
DET,Tigers,1,1,0,13,0,1,,13.0,56,13,6,6,1,10,4,,1,3.94266,1.32465,6.85176,2.73846,2.50205,0.94913,0.177543,0.070959,0.10658383369445801,,0.258874,0.297551,0.717799,4.02273,59.10000000000001,4.546153846153847,61.0,4.6923076923076925,0.021465,0.00986136,0,999.0,6,AL,Sean Guenther,674944,20045,20045
TOR,Blue Jays,2,2,0,42,0,1,,42.0,180,37,20,18,5,44,17,,2,3.93184,1.29205,9.42428,3.72502,2.52999,1.15978,0.244216,0.0965284,0.14768772572278976,,0.22991,0.28344,0.739005,4.12061,188.10000000000002,4.4785714285714295,180.0,4.285714285714286,0.0206203,0.00418827,0,999.0,14,AL,Mason Fluharty,689254,31553,31553
ATH,Athletics,3,3,0,52,0,7,,52.0,227,47,27,25,6,51,25,,3,4.31058,1.38759,8.80713,4.3779,2.01172,1.0136,0.224517,0.111604,0.11291258782148361,,0.236742,0.290404,0.711153,4.29832,234.8,4.515384615384615,228.0,4.384615384615385,0.0202144,-0.0224525,0,999.0,10,AL,Tyler Ferguson,621053,19481,19481
ATH,Athletics,1,1,0,11,0,1,,11.0,47,12,5,5,1,8,3,,1,4.07896,1.32291,6.32642,2.31806,2.72919,0.913028,0.163768,0.0600061,0.10376205295324326,,0.267389,0.303124,0.702314,3.97202,45.900000000000006,4.172727272727273,50.0,4.545454545454546,0.0170588,0.0164988,0,999.0,10,AL,Joel Kuhnel,669270,19995,19995
SEA,Mariners,0,1,2,2,0,0,,9.0,40,11,5,5,2,5,2,,0,4.99014,1.40028,4.56491,2.05224,2.22436,1.51168,0.116097,0.0521933,0.06390334293246269,,0.28578,0.293072,0.687512,5.10505,17.400000000000006,1.933333333333334,23.0,2.5555555555555554,0.0166767,0.0166107,1,999.0,11,AL,Casey Lawrence,596271,11121,11121
CLE,Guardians,2,2,0,42,0,1,,42.0,182,39,20,19,5,41,18,,3,4.02019,1.34599,8.68938,3.80585,2.28317,0.991723,0.222216,0.097328,0.12488797307014465,,0.239559,0.292659,0.721069,4.11085,170.9,4.069047619047619,168.0,4.0,0.0150068,0.0047055,0,999.0,5,AL,Colin Holderman,670059,22361,22361
HOU,Astros,1,1,0,24,0,1,,24.0,102,24,12,11,4,21,6,,1,4.15886,1.2598,7.94419,2.43487,3.26268,1.37332,0.20833,0.0638523,0.1444772109389305,,0.252194,0.289772,0.727498,4.29656,91.00000000000003,3.791666666666668,93.0,3.875,0.0142697,-0.010467,0,999.0,21,AL,Colton Gordon,676467,31312,31312
CLE,Guardians,2,1,0,22,0,1,,22.0,95,20,10,10,3,24,10,,1,3.98868,1.33221,9.65079,3.93522,2.45242,1.09778,0.247184,0.100792,0.14639176428318024,,0.233056,0.292153,0.739553,4.07012,92.9,4.222727272727273,90.0,4.090909090909091,0.0142142,0.017591,0,999.0,5,AL,Franco Aleman,680916,sa3018178,sa3018178
DET,Tigers,1,1,0,23,0,1,,23.0,100,23,11,10,2,19,9,,2,3.9272,1.35802,7.57535,3.3773,2.24302,0.864966,0.193076,0.0860786,0.1069970354437828,,0.250899,0.297621,0.722203,4.02866,94.80000000000003,4.121739130434784,98.0,4.260869565217392,0.0140414,0.00525509,0,999.0,6,AL,Drew Sommers,805427,32026,32026
TEX,Rangers,1,1,0,18,0,1,,18.0,79,15,9,8,2,22,10,,2,4.04818,1.36019,10.8568,4.91295,2.20983,0.994401,0.275445,0.124645,0.150799460709095,,0.217247,0.289458,0.721874,4.0525,81.60000000000002,4.533333333333335,76.0,4.222222222222222,0.0137488,-0.0101423,0,999.0,13,AL,Michel Otañez,671305,22533,22533
BOS,Red Sox,2,1,0,28,0,1,,28.0,121,28,14,13,3,23,10,,1,4.24795,1.36026,7.47343,3.13618,2.38297,1.08495,0.192592,0.0808199,0.11177182197570801,,0.258132,0.300208,0.715585,4.21726,114.50000000000001,4.089285714285714,118.0,4.214285714285714,0.0135093,0.00767505,0,999.0,3,AL,Ryan Watson,670245,sa3015070,sa3015070
KCR,Royals,1,1,0,24,0,1,,24.0,103,25,12,12,3,19,7,,1,4.31621,1.31692,7.2327,2.5208,2.8692,1.17312,0.187479,0.065342,0.1221374124288559,,0.261512,0.299093,0.702817,4.18765,93.70000000000002,3.9041666666666672,99.0,4.125,0.0134371,0.00325819,0,999.0,7,AL,Mitch Spence,687765,27707,27707
TOR,Blue Jays,1,1,0,11,0,1,,11.0,47,11,5,5,1,9,3,,0,4.01636,1.29236,7.45491,2.41094,3.09212,1.067,0.193603,0.0626118,0.13099144399166107,,0.257309,0.298528,0.711858,3.91052,53.50000000000001,4.863636363636364,55.0,5.0,0.0130598,0.00900076,0,999.0,14,AL,Joe Mantiply,573009,14857,14857
LAA,Angels,2,3,0,40,0,1,,40.0,172,36,21,19,6,41,19,,1,4.37211,1.35895,9.31101,4.23592,2.19811,1.26992,0.241092,0.109682,0.13141001015901566,,0.23476,0.28648,0.722642,4.42224,154.6,3.8649999999999998,148.0,3.7,0.0129117,-0.0345881,0,999.0,1,AL,José Fermin,820862,33908,33908
TBR,Rays,2,2,0,36,0,1,,36.0,154,36,18,17,5,31,11,,1,4.22004,1.30341,7.85898,2.74939,2.85844,1.2514,0.204249,0.0714547,0.13279464840888977,,0.253291,0.293377,0.719265,4.20263,141.30000000000004,3.925000000000001,145.0,4.027777777777778,0.0119371,-0.0104521,0,999.0,12,AL,Jesse Scholtens,669947,19205,19205
CHW,White Sox,2,3,0,52,0,6,,52.0,224,54,27,25,7,40,15,,2,4.40978,1.32709,6.93035,2.5794,2.6868,1.28017,0.179027,0.066632,0.11239504814147949,,0.261778,0.293314,0.708599,4.42383,211.30000000000004,4.06346153846154,222.0,4.269230769230769,0.010751,-0.0452885,0,999.0,4,AL,Jedixson Paez,699151,sa3016264,sa3016264
TOR,Blue Jays,1,1,0,23,0,1,,23.0,98,20,11,10,3,23,10,,1,4.0798,1.3273,9.00109,4.03358,2.23154,1.15161,0.233666,0.104711,0.12895511835813522,,0.232896,0.283816,0.728314,4.31449,98.30000000000001,4.273913043478261,93.0,4.043478260869565,0.00908885,0.00129749,0,999.0,14,AL,Yariel Rodríguez,684320,33838,33838
TBR,Rays,1,1,0,14,0,1,,14.0,61,13,7,7,2,15,6,,1,4.21522,1.36536,9.63175,3.99469,2.41114,1.31632,0.246539,0.10225,0.14428911358118057,,0.239096,0.293913,0.739492,4.35632,58.20000000000003,4.157142857142859,57.0,4.071428571428571,0.0079167,-0.00401399,0,999.0,12,AL,Cam Booser,592155,16061,16061
CHW,White Sox,2,2,0,40,0,1,,40.0,174,40,22,20,6,35,15,,2,4.53787,1.36976,7.93891,3.42255,2.31959,1.27608,0.203171,0.0875891,0.11558188498020172,,0.252187,0.292338,0.701981,4.46841,141.2,3.53,145.0,3.625,0.00703942,-0.0726692,0,999.0,4,AL,Tyler Gilbert,656457,17964,17964
SEA,Mariners,3,3,0,50,0,4,,50.0,215,46,25,23,6,48,20,,2,4.09899,1.32049,8.61213,3.54003,2.43278,1.12381,0.22245,0.0914387,0.13101178407669067,,0.240124,0.288657,0.724691,4.1661,222.6,4.452,218.0,4.36,0.00515451,-0.0923351,0,999.0,11,AL,Casey Legumina,668984,25921,25921
CLE,Guardians,3,3,0,52,0,7,,52.0,225,49,26,25,8,52,21,,2,4.25923,1.34585,9.07358,3.61458,2.51027,1.34047,0.233254,0.0929196,0.1403341293334961,,0.243071,0.291584,0.737905,4.36789,221.99999999999997,4.269230769230768,219.0,4.211538461538462,0.00507636,-0.0330207,0,999.0,5,AL,Connor Brogdon,641401,21205,21205
CHW,White Sox,0,1,0,8,0,1,,8.0,35,7,4,4,1,8,3,,0,4.373,1.35574,8.91484,3.91542,2.27685,1.16947,0.228513,0.100364,0.12814927101135254,,0.239363,0.290083,0.707876,4.3081,39.7,4.9625,38.0,4.75,0.00463349,-0.00230285,0,999.0,4,AL,Zach Franklin,702103,sa3022735,sa3022735
NYY,Yankees,0,0,0,6,0,1,,6.0,26,6,3,3,1,5,2,,0,4.07728,1.32588,8.19573,3.55083,2.30812,1.09779,0.212579,0.0921004,0.12047821283340454,,0.241313,0.286312,0.721551,4.1724,24.500000000000007,4.083333333333335,25.0,4.166666666666667,0.00429175,-0.0040523,0,999.0,9,AL,Elmer Rodríguez,695684,sa3019459,sa3019459
