Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,10.5258,8.33844,23.5576,23.5576,0.0,0.0,0.0,139.92,583.817,119.785,68.3261,62.86,20.2782,148.188,50.8085,0.510817,6.0569,4.04332,1.21922,9.53181,3.26814,2.91659,1.30435,0.253826,0.0870282,0.16679736971855164,,0.227317,0.277575,0.71916,4.12026,603.0,4.307142857142857,565.0,4.035714285714286,1.78755,1.92875,2.20632,0.805653,0.821768,10.6013,2.20632,-0.805653,3.90431,201.44000244140625,9,AL,Carlos Rodón,607074,16137,16137
MIN,Twins,7.31125,8.49061,24.4745,30.2241,0.0,0.317582,0.0,139.111,591.045,132.694,73.8597,67.9509,19.6087,134.74,49.1322,1.12155,4.40614,4.39619,1.30706,8.71718,3.17868,2.74239,1.26861,0.227968,0.0831276,0.14484068006277084,,0.246869,0.295139,0.699382,4.18501,547.8000000000002,3.9410071942446057,546.0,3.9280575539568345,1.76806,1.14141,3.00774,-0.510876,0.876541,9.65077,3.00774,0.510876,3.83128,503.44000244140625,8,AL,Taj Bradley,671737,22543,22543
CHW,White Sox,7.93908,9.32263,28.0037,28.0037,0.0,0.0,0.0,157.119,665.626,140.131,78.0728,71.827,21.499,154.018,57.8063,1.12284,9.53946,4.11436,1.25979,8.82241,3.31123,2.66439,1.2315,0.231389,0.086845,0.14454367756843567,,0.234222,0.28061,0.714164,4.23932,643.5,4.098726114649682,616.0,3.9235668789808917,1.7459,1.98294,3.86118,1.65659,0.802729,9.88397,3.86118,-1.65659,3.92969,247.1300048828125,4,AL,Shane Smith,681343,31687,31687
HOU,Astros,7.60003,7.22556,25.9535,25.9535,0.0,0.0,0.0,151.102,646.054,135.627,77.567,71.3617,19.8875,149.758,62.6995,1.07754,7.94017,4.25048,1.31254,8.91997,3.73454,2.3885,1.18455,0.231804,0.09705,0.13475428521633148,,0.235704,0.285236,0.708334,4.26643,604.8000000000001,4.005298013245033,582.0,3.8543046357615895,1.72682,1.44783,6.75218,0.52222,0.985893,10.8386,6.75218,-0.52222,3.68548,999.0,21,AL,Tatsuya Imai,837227,sa3062955,sa3062955
NYY,Yankees,7.38395,5.23304,18.6492,18.6492,0.0,0.0,0.0,112.68,465.997,100.582,53.8388,49.5317,15.8995,114.149,33.8001,0.549607,4.07934,3.9562,1.1926,9.11729,2.69968,3.37717,1.26992,0.244956,0.0725329,0.1724230870604515,,0.234941,0.284104,0.718349,3.95191,490.80000000000007,4.343362831858408,471.0,4.168141592920354,1.70761,1.6491,1.72936,-0.24414,0.351454,8.70428,1.72936,0.24414,4.53139,235.33999633789062,9,AL,Gerrit Cole,543037,13125,13125
TOR,Blue Jays,6.59673,5.2761,19.5333,25.1541,0.0,0.310511,0.0,108.277,453.633,89.7338,50.0289,46.0266,13.1747,121.17,45.1991,0.721572,3.61254,3.82572,1.24618,10.0716,3.75694,2.6808,1.09508,0.267109,0.0996381,0.16747137159109116,,0.221663,0.283052,0.728863,3.83119,500.30000000000007,4.632407407407408,466.0,4.314814814814815,1.69844,1.58409,2.66327,-0.516763,0.294358,6.93011,2.66327,0.516763,4.60752,189.4199981689453,14,AL,Trey Yesavage,702056,35456,35456
LAA,Angels,6.51183,6.15333,17.0165,17.0165,0.0,0.0,0.0,96.7937,406.835,89.0248,46.5424,42.819,12.6474,102.093,32.546,0.471765,3.59465,3.98137,1.25598,9.49274,3.02617,3.13689,1.17597,0.250944,0.079998,0.17094653844833374,,0.240157,0.298403,0.722368,3.8444,419.5000000000001,4.324742268041239,409.0,4.216494845360825,1.66378,1.3355,3.4133,-0.957394,0.166911,7.51799,3.4133,0.957394,4.77745,369.8800048828125,1,AL,Grayson Rodriguez,680570,24492,24492
CLE,Guardians,6.85722,7.37478,20.2295,40.0867,0.00728733,0.713737,0.0,129.192,548.979,114.132,60.9806,56.1021,15.3198,135.301,55.1966,1.06101,3.70256,3.9083,1.31068,9.4256,3.84521,2.45125,1.06724,0.246459,0.100544,0.14591513574123383,,0.232885,0.291088,0.732671,3.94984,570.6999999999999,4.424031007751937,547.0,4.24031007751938,1.59695,1.56569,1.97045,-0.652357,0.624886,6.53555,1.97045,0.652357,4.16682,271.2799987792969,5,AL,Joey Cantillo,676282,23335,23335
TBR,Rays,5.83553,6.48091,19.5132,30.4351,0.170874,0.514368,0.957906,119.246,503.029,119.347,59.3471,54.5993,16.2187,98.9373,32.2539,0.930366,4.42078,4.12082,1.27133,7.46718,2.43433,3.06745,1.22409,0.196683,0.0641194,0.13256345689296722,,0.255916,0.293648,0.715731,4.16656,468.4,3.9361344537815124,481.0,4.042016806722689,1.58889,1.4072,2.89002,-0.835495,0.121852,6.4137,2.89002,0.835495,4.83753,723.3800048828125,12,AL,Steven Matz,571927,13361,13361
KCR,Royals,9.09264,8.31071,25.8601,25.8601,0.0,0.0,0.0,150.764,639.965,146.598,77.212,71.035,21.2843,127.392,49.4883,1.10026,5.15633,4.24051,1.30062,7.60482,2.95426,2.57419,1.27059,0.199061,0.0773297,0.12173156440258026,,0.250458,0.286993,0.714869,4.36782,568.9000000000001,3.7675496688741728,574.0,3.801324503311258,1.57376,1.70479,4.23182,2.72888,0.903371,10.6347,4.23182,-2.72888,3.79551,294.2099914550781,7,AL,Noah Cameron,702070,30184,30184
MIN,Twins,7.0091,7.48574,25.844,29.9286,0.0,0.313924,0.0,139.046,596.75,134.572,76.914,70.7609,19.9395,125.196,53.1974,0.554227,4.35557,4.58011,1.35041,8.10349,3.44329,2.35342,1.29061,0.209796,0.0891452,0.12065054476261139,,0.249579,0.2909,0.693478,4.44032,510.60000000000014,3.6733812949640297,514.0,3.697841726618705,1.55964,0.868097,3.59371,-0.881896,1.06741,7.27451,3.59371,0.881896,3.57678,667.6799926757812,8,AL,Simeon Woods Richardson,680573,24494,24494
