player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value,is_pitcher,msp,delta_rank_R,delta_rank_HR,delta_rank_RBI,delta_rank_SB,delta_rank_AVG,delta_rank_W,delta_rank_SV,delta_rank_SO,delta_rank_ERA,delta_rank_WHIP,msp_per_dollar,team_rank_R,team_rank_HR,team_rank_RBI,team_rank_SB,team_rank_AVG,team_rank_W,team_rank_SV,team_rank_SO,team_rank_ERA,team_rank_WHIP,team_baseline_pts,tps
Yainer Diaz,HOU,hitter,C/DH,atc,23003,673237,516.084,486.324,,57.6575,19.6063,67.4355,1.12139,0.269226,,,,,,1.8117788790490643,1.6109250256761385,2.1862636301111382,0.108251968949313,0.7807453656479425,0.0,0.0,0.0,0.0,0.0,6.497964869433596,2.1916991883353116,12.317674530383604,False,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24355246541057715,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,95
Wyatt Langford,TEX,hitter,OF,atc,33333,694671,613.384,531.718,,84.2842,24.4389,74.3718,22.9098,0.250603,,,,,,2.648473024282134,2.0079890448476547,2.411138961613683,2.2115686409143755,0.3567866053443827,0.0,0.0,0.0,0.0,0.0,9.63595627700223,5.329690595903945,29.953651695173797,False,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1001547334037862,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,19
Pete Alonso,BAL,hitter,1B,atc,19251,624413,655.282,576.191,,85.0442,35.992,102.652,1.96245,0.252021,,,,,,2.6723545999327833,2.957233824032865,3.327985025070898,0.1894426350017204,0.427622594030888,0.0,0.0,0.0,0.0,0.0,9.574638678069157,5.268372996970871,29.609037694008844,False,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10132041544217515,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,19
Salvador Perez,KCR,hitter,C,atc,7304,521692,576.695,533.211,,60.5753,26.5214,88.2162,0.127938,0.250148,,,,,,1.9034652756720425,2.179094830537487,2.85997537864493,0.012350333428546,0.3456156014011523,0.0,0.0,0.0,0.0,0.0,7.300501419684157,2.994235738585873,16.828048982012447,False,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1782737858207276,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,95
Brandon Nimmo,TEX,hitter,OF,atc,12927,607043,614.136,542.245,,78.2279,21.2664,71.6119,9.3362,0.250317,,,,,,2.4581651471597334,1.747324888736734,2.3216628104359844,0.9012582888242058,0.3560691763796335,0.0,0.0,0.0,0.0,0.0,7.784480311536291,3.478214630438007,19.54808214219184,False,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15346774062939472,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,19
Caleb Durbin,BOS,hitter,3B,atc,29646,702332,531.998,473.801,,62.6816,10.1234,53.807,21.036,0.254153,,,,,,1.969651805662782,0.8317754193769257,1.7444267061916945,2.0306837218253673,0.4023165941412877,0.0,0.0,0.0,0.0,0.0,6.978854247198058,2.6725885660997735,15.020344163126603,False,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1997291118911037,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,95
Adley Rutschman,BAL,hitter,C/DH,atc,26288,668939,559.479,491.847,,64.4646,16.8669,64.4236,0.853125,0.251195,,,,,,2.0256792390642384,1.385845943170147,2.0886176212948357,0.0823553456066869,0.344642276484738,0.0,0.0,0.0,0.0,0.0,5.927140425620646,1.6208747445223617,9.109556486494707,False,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21954965677693336,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,96
Austin Hays,CHW,hitter,OF,atc,19363,669720,449.156,410.259,,52.8886,13.5133,52.5904,5.54775,0.245093,,,,,,1.661925134153828,1.110301951386511,1.7049844490364392,0.5355450474309128,0.1618665608673778,0.0,0.0,0.0,0.0,0.0,5.174623142875069,0.8683574617767844,4.88029773753789,False,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40981106226707387,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,96
Cam Smith,HOU,hitter,OF,atc,35108,701358,483.457,433.497,,54.9975,10.8452,49.4249,7.39437,0.240292,,,,,,1.7281933642717937,0.8910811365970558,1.6023587174689888,0.7138061795091196,0.066611507196408,0.0,0.0,0.0,0.0,0.0,5.002050905043366,0.6957852239450819,3.910416163504268,False,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114545143982134,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,100
Starling Marte,KCR,hitter,OF,atc,9241,516782,257.116,233.324,,29.9605,5.61106,26.3694,6.95278,0.256574,,,,,,0.9414525622121926,0.4610251283806915,0.8548977937118082,0.671177845951368,0.2264636816532716,0.0,0.0,0.0,0.0,0.0,3.155017011909332,-1.151248669188952,0.0,False,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,98
Cody Ponce,TOR,pitcher,SP,atc,17920,664074,,,136.559,,,,,,7.92133,0.154214,4.05066,1.25799,139.343,0.0,0.0,0.0,0.0,0.0,2.6404433333333333,0.0240829964133204,3.9059004905395938,0.3705474559917817,0.6832599632786112,7.62423423955664,3.0088199273582,16.910014286167005,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11827311119636791,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,58
Bailey Ober,MIN,pitcher,SP,atc,21224,641927,,,157.999,,,,,,8.30181,0.0,4.41335,1.20821,143.326,0.0,0.0,0.0,0.0,0.0,2.76727,0.0,4.017547302032235,-0.0325453824714412,1.1349197253824956,7.8871916449432895,3.2717773327448496,18.3878739085758,True,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0,0.10876733275113624,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,8
Shea Langeliers,ATH,hitter,C,atc,25816,669127,525.121,477.658,,69.2838,29.1747,76.0272,5.48314,0.253436,,,,,,2.177113567190037,2.397099623416638,2.4648071454825056,0.5293080025902996,0.3884079659208386,0.0,0.0,0.0,0.0,0.0,7.956736304600319,3.650470623502035,20.516186373722952,False,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09748400426706944,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,8
Jordan Westburg,BAL,hitter,2B/3B,atc,27815,676059,394.449,361.858,,53.6265,15.7079,50.3858,3.8613,0.260649,,,,,,1.685112258723057,1.290618281410476,1.6335111627266616,0.3727457242386523,0.4252039213248727,0.0,0.0,0.0,0.0,0.0,5.40719134842372,1.100925667325436,6.18736554926597,False,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3232393470331274,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,96
Willson Contreras,BOS,hitter,C,atc,11609,575929,563.119,489.801,,70.0845,21.9582,74.5465,4.72624,0.250711,,,,,,2.2022740640630305,1.8041656966792192,2.4168027478417144,0.4562416159650087,0.3313141379465018,0.0,0.0,0.0,0.0,0.0,7.210798262495476,2.9045325813971914,16.323903933057412,False,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12251971147354129,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,58
Taylor Ward,BAL,hitter,OF,atc,17548,621493,630.484,553.277,,80.3044,27.1087,83.3219,4.78638,0.24206,,,,,,2.52341526799996,2.22734953782951,2.701301830071064,0.4620471549947947,0.1340971076718579,0.0,0.0,0.0,0.0,0.0,8.048210898567188,3.741945217468904,21.030287160126353,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951009363196914,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,8
Ryan Weathers,NYY,pitcher,SP,atc,23796,677960,,,122.085,,,,,,7.18869,0.0,3.99334,1.2491,117.714,0.0,0.0,0.0,0.0,0.0,2.39623,0.0,3.299621583742117,0.3876019844329435,0.6583634011460932,6.741816969321153,2.1264026571227133,11.950698339617787,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16735423681223677,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,58
Jacob Lopez,ATH,pitcher,SP,atc,25098,682052,,,126.425,,,,,,8.05938,0.0,4.29581,1.28638,129.393,0.0,0.0,0.0,0.0,0.0,2.6864600000000003,0.0,3.626993693062369,0.0935727625733011,0.4753977913576319,6.882424246993303,2.2670099347948627,12.740932096233042,True,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,-1.0,0.15697438655930956,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,58
